date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:38:32	14637/14637	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Jan%202018%2004:08:31%20GMT	https://www.silverwingtechnologies.com/git/160120116002/images/ajax-loader-white.gif	D:/GITHUB/ashish/www.silverwingtechnologies.com/git/160120116002/images/ajax-loader-white.gif	(from https://www.silverwingtechnologies.com/git/160120116002/)
09:38:33	2084/2084	---M--	200	added ('OK')	application/javascript	etag:%224d62451-824-5571f221499c4%22	https://www.silverwingtechnologies.com/git/160120116002/assets/js/detectmobilebrowser.min.js	D:/GITHUB/ashish/www.silverwingtechnologies.com/git/160120116002/assets/js/detectmobilebrowser.min.js	(from https://www.silverwingtechnologies.com/git/160120116002/)
09:38:33	37330/37330	---M--	200	added ('OK')	application/javascript	etag:%224d6244f-91d2-5571f22142493%22	https://www.silverwingtechnologies.com/git/160120116002/assets/js/bootstrap.min.js	D:/GITHUB/ashish/www.silverwingtechnologies.com/git/160120116002/assets/js/bootstrap.min.js	(from https://www.silverwingtechnologies.com/git/160120116002/)
09:38:33	85578/85578	---M--	200	added ('OK')	application/javascript	etag:%224d62455-14e4a-5571f223a07e4%22	https://www.silverwingtechnologies.com/git/160120116002/assets/js/jquery.min.js	D:/GITHUB/ashish/www.silverwingtechnologies.com/git/160120116002/assets/js/jquery.min.js	(from https://www.silverwingtechnologies.com/git/160120116002/)
09:38:33	4328/4328	---M--	200	added ('OK')	application/javascript	etag:%224d62457-10e8-5571f2219f4df%22	https://www.silverwingtechnologies.com/git/160120116002/assets/js/main.min.js	D:/GITHUB/ashish/www.silverwingtechnologies.com/git/160120116002/assets/js/main.min.js	(from https://www.silverwingtechnologies.com/git/160120116002/)
09:38:34	1740/1740	---M--	200	added ('OK')	application/javascript	etag:%224d6244e-6cc-5571f2205577a%22	https://www.silverwingtechnologies.com/git/160120116002/assets/js/animation.min.js	D:/GITHUB/ashish/www.silverwingtechnologies.com/git/160120116002/assets/js/animation.min.js	(from https://www.silverwingtechnologies.com/git/160120116002/)
09:38:34	114247/114247	---M--	200	added ('OK')	image/jpeg	etag:%224d62427-1be47-5571f21e3c5a4%22	https://www.silverwingtechnologies.com/git/160120116002/assets/images/003.jpg	D:/GITHUB/ashish/www.silverwingtechnologies.com/git/160120116002/assets/images/003.jpg	(from https://www.silverwingtechnologies.com/git/160120116002/)
09:38:34	1198/1198	---M--	200	added ('OK')	application/javascript	etag:%224d6245d-4ae-5571f22489a65%22	https://www.silverwingtechnologies.com/git/160120116002/assets/js/switch-style.js	D:/GITHUB/ashish/www.silverwingtechnologies.com/git/160120116002/assets/js/switch-style.js	(from https://www.silverwingtechnologies.com/git/160120116002/)
09:38:34	353/353	---M-Z	200	added ('OK')	text/html	etag:%224d62404-161-5571f218b0a93-gzip%22	https://www.silverwingtechnologies.com/git/160120116002/assets/fonts/glyphicons-halflings-regular.html	D:/GITHUB/ashish/www.silverwingtechnologies.com/git/160120116002/assets/fonts/glyphicons-halflings-regular.html	(from https://www.silverwingtechnologies.com/git/160120116002/assets/css/bootstrap.min.css)
09:38:35	234998/234998	---M--	200	added ('OK')	application/javascript	etag:%224d6245a-395f6-5571f22656d60%22	https://www.silverwingtechnologies.com/git/160120116002/assets/js/plugins.min.js	D:/GITHUB/ashish/www.silverwingtechnologies.com/git/160120116002/assets/js/plugins.min.js	(from https://www.silverwingtechnologies.com/git/160120116002/)
09:38:35	353/353	---M-Z	200	added ('OK')	text/html	etag:%224d62409-161-5571f21936738-gzip%22	https://www.silverwingtechnologies.com/git/160120116002/assets/fonts/glyphicons-halflings-regulard41d.html?	D:/GITHUB/ashish/www.silverwingtechnologies.com/git/160120116002/assets/fonts/glyphicons-halflings-regulard41dd41d.html	(from https://www.silverwingtechnologies.com/git/160120116002/assets/css/bootstrap.min.css)
09:38:35	355/355	---M-Z	200	added ('OK')	text/html	etag:%224d623fa-163-5571f217144da-gzip%22	https://www.silverwingtechnologies.com/git/160120116002/assets/fonts/glyphicons-halflings-regular-2.html	D:/GITHUB/ashish/www.silverwingtechnologies.com/git/160120116002/assets/fonts/glyphicons-halflings-regular-2.html	(from https://www.silverwingtechnologies.com/git/160120116002/assets/css/bootstrap.min.css)
09:38:35	354/354	---M-Z	200	added ('OK')	text/html	etag:%224d623fc-162-5571f21714caa-gzip%22	https://www.silverwingtechnologies.com/git/160120116002/assets/fonts/glyphicons-halflings-regular-3.html	D:/GITHUB/ashish/www.silverwingtechnologies.com/git/160120116002/assets/fonts/glyphicons-halflings-regular-3.html	(from https://www.silverwingtechnologies.com/git/160120116002/assets/css/bootstrap.min.css)
09:38:36	353/353	---M-Z	200	added ('OK')	text/html	etag:%224d623ff-161-5571f2180063c-gzip%22	https://www.silverwingtechnologies.com/git/160120116002/assets/fonts/glyphicons-halflings-regular-4.html	D:/GITHUB/ashish/www.silverwingtechnologies.com/git/160120116002/assets/fonts/glyphicons-halflings-regular-4.html	(from https://www.silverwingtechnologies.com/git/160120116002/assets/css/bootstrap.min.css)
09:38:36	353/353	---M-Z	200	added ('OK')	text/html	etag:%224d62401-161-5571f2180bdd4-gzip%22	https://www.silverwingtechnologies.com/git/160120116002/assets/fonts/glyphicons-halflings-regular-5.html	D:/GITHUB/ashish/www.silverwingtechnologies.com/git/160120116002/assets/fonts/glyphicons-halflings-regular-5.html	(from https://www.silverwingtechnologies.com/git/160120116002/assets/css/bootstrap.min.css)
09:38:36	14292/14292	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224d6240f-37d4-5571f21974383%22	https://www.silverwingtechnologies.com/git/160120116002/assets/fonts/icomoon256e.eot?9guuee	D:/GITHUB/ashish/www.silverwingtechnologies.com/git/160120116002/assets/fonts/icomoon256e256e.eot	(from https://www.silverwingtechnologies.com/git/160120116002/assets/css/icomoon.min.css)
09:38:36	14128/14128	---M--	200	added ('OK')	application/x-font-ttf	etag:%224d62418-3730-5571f21a40143%22	https://www.silverwingtechnologies.com/git/160120116002/assets/fonts/icomoon256e.ttf?9guuee	D:/GITHUB/ashish/www.silverwingtechnologies.com/git/160120116002/assets/fonts/icomoon256e256e.ttf	(from https://www.silverwingtechnologies.com/git/160120116002/assets/css/icomoon.min.css)
09:38:37	14204/14204	---M--	200	added ('OK')	application/x-font-woff	etag:%224d6241b-377c-5571f21ae84b2%22	https://www.silverwingtechnologies.com/git/160120116002/assets/fonts/icomoon256e.woff?9guuee	D:/GITHUB/ashish/www.silverwingtechnologies.com/git/160120116002/assets/fonts/icomoon256e256e.woff	(from https://www.silverwingtechnologies.com/git/160120116002/assets/css/icomoon.min.css)
